sweep,condition,seed,git_commit,timestamp,phi_spectral_mean,phi_norm_mean,polarization_mean,milling_score_mean,angular_momentum_norm_mean,local_density_mean,LCC_fraction_mean,snap_TP_0_mean,snap_MP_0_mean,snap_B_base_0_mean,snap_B_prev_0_mean,snap_TP_1_mean,snap_MP_1_mean,snap_B_base_1_mean,snap_B_prev_1_mean,snap_TP_2_mean,snap_MP_2_mean,snap_B_base_2_mean,snap_B_prev_2_mean,traj_TP_0_mean,traj_MP_0_mean,traj_B_base_0_mean,traj_B_prev_0_mean,traj_TP_1_mean,traj_MP_1_mean,traj_B_base_1_mean,traj_B_prev_1_mean,traj_TP_2_mean,traj_MP_2_mean,traj_B_base_2_mean,traj_B_prev_2_mean,phi_spectral_ci_lo,phi_norm_ci_lo,polarization_ci_lo,milling_score_ci_lo,angular_momentum_norm_ci_lo,local_density_ci_lo,LCC_fraction_ci_lo,snap_TP_0_ci_lo,snap_MP_0_ci_lo,snap_B_base_0_ci_lo,snap_B_prev_0_ci_lo,snap_TP_1_ci_lo,snap_MP_1_ci_lo,snap_B_base_1_ci_lo,snap_B_prev_1_ci_lo,snap_TP_2_ci_lo,snap_MP_2_ci_lo,snap_B_base_2_ci_lo,snap_B_prev_2_ci_lo,traj_TP_0_ci_lo,traj_MP_0_ci_lo,traj_B_base_0_ci_lo,traj_B_prev_0_ci_lo,traj_TP_1_ci_lo,traj_MP_1_ci_lo,traj_B_base_1_ci_lo,traj_B_prev_1_ci_lo,traj_TP_2_ci_lo,traj_MP_2_ci_lo,traj_B_base_2_ci_lo,traj_B_prev_2_ci_lo,phi_spectral_ci_hi,phi_norm_ci_hi,polarization_ci_hi,milling_score_ci_hi,angular_momentum_norm_ci_hi,local_density_ci_hi,LCC_fraction_ci_hi,snap_TP_0_ci_hi,snap_MP_0_ci_hi,snap_B_base_0_ci_hi,snap_B_prev_0_ci_hi,snap_TP_1_ci_hi,snap_MP_1_ci_hi,snap_B_base_1_ci_hi,snap_B_prev_1_ci_hi,snap_TP_2_ci_hi,snap_MP_2_ci_hi,snap_B_base_2_ci_hi,snap_B_prev_2_ci_hi,traj_TP_0_ci_hi,traj_MP_0_ci_hi,traj_B_base_0_ci_hi,traj_B_prev_0_ci_hi,traj_TP_1_ci_hi,traj_MP_1_ci_hi,traj_B_base_1_ci_hi,traj_B_prev_1_ci_hi,traj_TP_2_ci_hi,traj_MP_2_ci_hi,traj_B_base_2_ci_hi,traj_B_prev_2_ci_hi,phi_saturation_ratio
jamming_sweep,alpha_0.2,0,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T19:57:24.950903+00:00,189.1999867284801,0.47912479139279734,0.35912849724607226,0.7775111596354514,9.101435260017311,0.0054269749894476915,0.18629032258064518,271.9627298962685,24.855784723835608,7.683804958097396,3.4976151604806223,8.794967566767047,3.877876870093807,2.270067153438445,1.843903487728488,0.1358737330282888,0.10951571310720136,0.05475785655360068,0.10094605722735005,438.1493720739119,15.074823564098727,2.5748785849540465,1.3772120129677556,6.395970129197644,1.571714093608241,0.7168779834624259,0.652780625127977,0.9890771681262601,0.4126321731075164,0.3539905394277265,0.2557948174015168,173.58082652532778,0.4393337459282516,0.3319620258652589,0.7738485285665436,7.293214085394916,0.0038951296796252348,0.162883064516129,247.44966524967984,22.800650631227803,6.990360962190936,3.0712623713477964,6.160882653151789,2.834235085498902,1.8844405278082819,1.4700646784036389,0.011307439496440272,0.011307439496440272,0.005653719748220136,0.02265158007221837,420.9608364361909,14.826995701943675,2.3095246451516305,1.163518093670568,5.332579361238787,1.377414228839259,0.6497433193268314,0.5875464316337339,0.694407553826609,0.3275537129371397,0.338696494794661,0.22758817403547224,204.31037276925045,0.5167369122546147,0.38708396258449546,0.7816582022010493,10.817053251121393,0.007143075517096759,0.20647177419354834,298.37780556186675,26.87863513269732,8.343761850172474,3.9092933014515903,11.733471791686549,4.990669662144876,2.694719345338883,2.238481326641575,0.36154278170677895,0.28052567051303,0.140262835256515,0.2024723499051986,456.2783156651643,15.287738553939327,2.8261187891806325,1.5892791420221328,7.496980171818887,1.7767902389649421,0.8025854210699758,0.7236561909798653,1.3405782107383972,0.496494839268346,0.3650927612858434,0.2856603072535607,0.12988355877513555
jamming_sweep,alpha_0.2,1,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T19:58:03.367458+00:00,202.65612500740284,0.5158975203764434,0.42122537286737954,0.7768776513500538,7.957272335654699,0.006052569431483342,0.31532258064516133,251.18634912948454,29.25082858916252,12.035119918084913,3.2795872226838143,9.64440857595013,3.40798778687754,2.455686723032305,1.4802884940178163,0.1549437738233997,0.1549437738233997,0.07747188691169984,0.14294430517381237,419.7095868779767,14.746527025776524,3.2464654291829755,1.7816754002724924,7.20596553433326,1.540901522482595,0.7409828247562531,0.6456160237712245,1.5520172119140625,0.5136816578526651,0.5820663667494251,0.2724213292521815,188.09680027818754,0.47769487135924227,0.3683252101739035,0.7686037843263083,6.559288179536007,0.00454195590447239,0.23306451612903228,224.19744114481634,24.82034569094258,9.744163953488874,2.813886151006145,6.431714143964552,2.537735478628066,2.24572574861588,1.135764398882466,0.020375097951581402,0.020375097951581402,0.010187548975790701,0.03720060471565492,399.94407994699094,14.459708619886829,2.9620556233390687,1.477653993137421,5.7195349016497214,1.341425955680109,0.6695353050385752,0.569613580934463,1.1317206228933028,0.3893431886549919,0.5368202067190601,0.22432729198086648,218.03219040539705,0.5561435997590423,0.47336537802442386,0.7862865016733604,9.538419493530824,0.007794466055427804,0.3959879032258065,281.93484374478214,33.37100099286725,14.351136582513009,3.7867538082984185,13.11920902652125,4.365343496972514,2.6802941591508924,1.8459069579839706,0.365947001980197,0.365947001980197,0.1829735009900985,0.2805472712362966,440.55648456148566,15.051866086836784,3.512264432445649,2.0960124561863562,8.712341091709753,1.7270757267552037,0.8194573287040956,0.7311853570322836,1.995864967376955,0.6433999238475677,0.6219702401468831,0.3272910237312317,0.13985209513992136
jamming_sweep,alpha_0.2,2,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T19:58:42.201684+00:00,172.94236807407023,0.43784998535509884,0.25144451422895825,0.817264173681457,9.573222078198826,0.00571662094202987,0.17016129032258062,288.69486474894705,28.392787195021107,13.522675760330692,3.8266514962719334,11.46827724672133,4.121318009591872,2.4336179148766304,2.0682095558412614,0.31184522567256806,0.22489756922568044,0.11244878461284022,0.19597693412534653,439.9948757156249,14.781728067705709,3.081188755650674,1.3668290492027038,7.912303586159983,1.5921306610107422,0.7892668631768995,0.6414063515201691,1.4918369170158141,0.5141607099963773,0.33446825704266947,0.2747974549570391,160.55248823584174,0.40924750374429986,0.2311396374343623,0.803232254436164,7.863271340609463,0.004065002232100626,0.1515927419354838,265.504673388372,25.479746107901295,11.522598035104814,3.266577663729268,8.419659574954741,3.2486620958774317,2.165887237748792,1.6644730890950847,0.10016414426988171,0.07933810910870952,0.03966905455435476,0.09330411880247054,426.1593941890424,14.563525082219032,2.703599168792848,1.125297656174629,6.5766469101752,1.4101605438417004,0.7255416300988966,0.577350288821805,1.0966800851206626,0.4030228753243723,0.3153625345999195,0.23144967786727413,184.99315665400965,0.4676526038435796,0.27114108689609656,0.8316731519496532,11.05597325658755,0.00764978578913861,0.1870967741935484,312.5603140523237,31.17570224269744,15.620112533723155,4.3330507809115995,14.77391606598131,5.043993051590458,2.7246730715997756,2.5318733188413804,0.5885973976504417,0.40906624332551034,0.20453312166275517,0.3145497914283506,454.21932316422465,14.999292369811766,3.423801424810963,1.617945429009776,9.27985494752084,1.7924210994474348,0.848781390343943,0.7040578476844295,1.9137106472446073,0.6308336734771728,0.35686582519162086,0.3148613595193432,0.11869457671402
jamming_sweep,alpha_0.2,3,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T19:59:20.643311+00:00,182.55391110959016,0.46505035501438363,0.2625832076836764,0.7941356061718584,6.741113843212767,0.004827920275926422,0.22822580645161292,278.8315526188141,29.998710017050467,11.940571138935704,4.111378269810831,10.209045921602558,4.746759187790655,2.410393299595002,2.2237955677893853,0.4658482228555987,0.34229989974729474,0.17114994987364737,0.24136173725128174,444.8127456288184,15.120903445828345,3.1247163280364005,1.4541912540312736,9.460345852759577,1.7109736165692728,0.8494969491035708,0.6527577830899146,2.08621403478807,0.6658475629744991,0.3539784492984895,0.3593026284248598,166.72990687576882,0.4244917817404287,0.23403629035426043,0.7870895537885472,5.142558016542011,0.003800640737594567,0.1774193548387097,249.13589320750307,25.824583998034075,9.42964297456126,3.5710061980832006,7.516938541973791,3.764605723465643,1.950658304076041,1.9242253772674067,0.17569081244930143,0.13822222428937114,0.06911111214468557,0.11458607287176194,425.4898053464389,14.95214845518912,2.663668727874756,1.1752594851678417,7.648669346686333,1.5207794943163473,0.80420080038809,0.5797599761716781,1.5436963735088225,0.5224753102948588,0.29905757173415154,0.3068690069260136,197.02566652363234,0.5013286521878457,0.2900837745636855,0.8004777370513306,8.37735720489042,0.005978444220026682,0.27419354838709675,310.78423515504164,33.822494220733645,14.19274167668435,4.678568273975004,13.245461458640714,5.712911138611455,2.8793131532207608,2.522493666602719,0.8420882336554988,0.5957508160221962,0.2978754080110981,0.3717912806618598,465.709110806642,15.282103755397182,3.5551064991181893,1.7546191861552576,11.458935969106612,1.901595478673135,0.8923117241551799,0.7311490708781827,2.7065862086511427,0.8143766049415835,0.41296371259996967,0.4136007962688323,0.12606818975766398
jamming_sweep,alpha_0.2,4,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T19:59:58.897462+00:00,170.44201810976452,0.433020586454636,0.29593209993790587,0.8193667337018435,6.9220038133858575,0.004970129709855644,0.23387096774193555,278.9972009169118,29.377426701207316,12.340049559070218,4.136971350639097,10.411599236149941,3.9995518153713596,2.0151277280622915,2.15110448868044,0.3512445880520728,0.2680950164794922,0.1340475082397461,0.2052116701679845,447.221683532961,15.076015349357359,2.504501542737407,1.4591280183484476,7.685712475930491,1.528607706869802,0.6521208517013057,0.599166085643153,1.3471761211272208,0.4481854900237053,0.25550968416275516,0.23924876797583797,149.00139582572442,0.3804038983017315,0.27373968861443393,0.8079881085903237,5.696579838554917,0.003700593325220252,0.18143145161290322,253.73542123580532,26.572703198463685,11.382151882110103,3.548197099470323,7.242080644926717,3.058827953761624,1.5483453589100993,1.7013588238146997,0.08303249266839796,0.07820903716548797,0.03910451858274398,0.09255660426232123,434.99740853194265,14.860864550067532,2.282865984593668,1.262476654591099,6.343373133290198,1.33984186110958,0.5797581853405122,0.536879369520372,0.9334447253134943,0.3286455077509726,0.2057482865548903,0.18763559018411943,191.8449752938143,0.48690421820966356,0.3174781880291268,0.8304881090266999,8.083735874470248,0.006459927791834657,0.2822580645161291,306.5244238103905,32.06036484010758,13.452944651726753,4.7690689994442845,13.805560851962335,4.8474118708602845,2.4349902468342934,2.539873530787806,0.7339282927974577,0.5157949570686586,0.2578974785343293,0.3526269005190941,461.1583925047229,15.27222082691808,2.7377167228729493,1.6491862345126367,9.165083465268536,1.7183698915666148,0.7325352661071285,0.6551499001441463,1.812856877234674,0.5890018378534624,0.3122459888458252,0.2958255129475747,0.1173853989649133
jamming_sweep,alpha_0.2,5,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T20:00:37.818567+00:00,187.95543175157889,0.47479160702476897,0.334582213250206,0.7924611863407439,9.201561578489764,0.00856946367064504,0.26370967741935475,250.99650114077716,32.230130964709865,13.746527148831275,3.6996130635661464,9.540305981712956,4.158388095517313,2.228144907182263,1.820459202412636,0.1485320060483871,0.1485320060483871,0.07426600302419355,0.12939351604830834,431.54182004544043,14.861919341548797,3.1198835449834026,1.7375932508899319,7.393940848688925,1.5781747602647351,0.9316218899142358,0.6771437429612682,1.4888629913330078,0.48907713736257247,0.2701480773187453,0.2707602285569714,169.82198231049745,0.42964031978850653,0.2959336781504174,0.7831104896593728,7.987010028591364,0.006341191385653934,0.20725806451612896,219.1840837222434,28.16556031011766,12.67801578583256,3.214639482190532,6.49742654629292,2.9195782974843056,1.6663916049465057,1.3164353347593738,0.016144906320879535,0.016144906320879535,0.008072453160439768,0.05512037046494023,414.50508694648744,14.647595270218387,2.84266151497441,1.4850257312097856,6.295307749317538,1.4404571756239861,0.8902051410367412,0.6136911707539712,1.080244694986651,0.38091691693952007,0.22823029410454534,0.2226587583941798,204.07675168510394,0.5158644508845642,0.3699157915308566,0.8022384110216284,10.553239359726165,0.011094031761122839,0.3185685483870967,284.9637441447726,36.24978708451794,14.73073916896697,4.226702435939543,13.102628915588701,5.642396559061543,2.901717292493389,2.386621550398488,0.3046413652358516,0.3046413652358516,0.1523206826179258,0.21286352372938586,450.5901567932098,15.100060840575926,3.4009664270185658,1.9725690126419066,8.519340567050442,1.7160066504632272,0.9713213128428305,0.7420241125168339,1.9532163612304192,0.605140446847485,0.317060306379872,0.31716139585741104,0.1287088973577786
jamming_sweep,alpha_0.2,6,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T20:01:16.185128+00:00,202.76229407622915,0.5129862381117589,0.4494407234250559,0.8154535864744518,4.555928350321059,0.006766148319881479,0.24596774193548382,261.96971997378336,28.929798126220703,11.410271521537535,3.4918253421783447,9.425876725104548,3.966222982252798,3.0183545850938365,1.8690412775162728,0.05855403792473578,0.05554710280510687,0.027773551402553436,0.05044054600500291,430.9275048548175,14.560537922766901,2.6543759530590427,1.705882933831984,7.888282191368841,1.5290268005863312,0.6709443215400942,0.6604492125972625,1.3187980959492345,0.4216233837989069,0.3286565657584898,0.2480946510068832,189.17812894989066,0.47979448653085854,0.42688465911125223,0.8021849544802538,3.4363463085837362,0.004954770696312687,0.19193548387096768,238.64756883224172,25.64991120523022,10.592469738375756,3.087598482639559,6.804309818821569,2.9152006855895443,2.778390056471671,1.4385168838885523,0.01359937527487355,0.012104979830403482,0.006052489915201741,0.01913182254760496,411.81316573514096,14.347911398641525,2.2790451030577383,1.527958688620598,6.153766560554504,1.3682475174626996,0.6360754151498118,0.6043557178589605,0.8626214827260664,0.301513691871397,0.31212872997406993,0.18766992630497104,214.96547031835775,0.5437199977826392,0.47090075100644996,0.8288401442708727,5.844822922702995,0.008744622028317113,0.30080645161290315,287.78706766969015,32.178396709503666,12.231584095185804,3.9317390828363354,12.300926194652432,5.1155233989800175,3.3366318498888323,2.346086134545264,0.11311361876226238,0.10938327168264694,0.05469163584132347,0.0845206529863419,451.0215822020846,14.774845409393311,3.014058127710896,1.900138514272628,9.839388258995548,1.705438857693826,0.7058724441835957,0.7229491968308726,1.8246851413480698,0.5540404881200481,0.34509375556822747,0.3053931651576873,0.13906289009787595
jamming_sweep,alpha_0.2,7,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T20:01:55.102790+00:00,185.5245740061798,0.471469387120122,0.4119974843638461,0.8180779946746274,5.884471341634248,0.009085318212403626,0.27661290322580645,247.41980775589906,30.38081999747984,11.673893159435641,3.848730548735588,7.513688725809897,3.5864406747202717,2.648087501525879,1.5855907836268026,0.40367721742199314,0.4001900995931318,0.2000950497965659,0.2834382749372913,426.8861388025745,14.82953203878095,3.4621679552139772,1.7013637942652549,7.103754628089167,1.3218567755914503,1.4462154603773547,0.6047657843559019,1.2094017459500221,0.35705717148319366,0.21178956185617753,0.19173980528308499,171.44822409166906,0.4351186717689846,0.36540529167739555,0.7956016023915823,4.942536399541452,0.006738832711019536,0.20887096774193548,219.97352863761085,26.622611644191128,10.515848477809659,3.29011556448475,5.012202289412098,2.3835396341739163,2.2272373422499627,1.123285995279589,0.13128776204201484,0.12780893406560345,0.06390446703280173,0.14112616017941507,402.8387859493494,14.56995174807887,3.083468238769039,1.4566902870132077,5.6162784368761125,1.1404416422690116,1.3698766585319273,0.5670179117110469,0.8411972122807657,0.264609202261894,0.1824206267633746,0.14814268235237368,199.6328653283631,0.5078354035157876,0.46226529071919725,0.8394339501209979,6.8486896906942345,0.011805485160926152,0.3403427419354839,276.4023429572943,34.06526552169554,12.79842941837926,4.433453721384848,10.371466931220022,5.042913927474328,3.1844983554655504,2.094748741051843,0.7032919954869054,0.7020299348138993,0.35101496740694965,0.43859588542292194,452.47270099164973,15.108513922076071,3.7989828755778654,1.9495820183907786,8.712914862171296,1.4789427042007446,1.5135930584323023,0.6437051188561224,1.6247653676617528,0.45325285004031274,0.24395053348233622,0.2384345469936248,0.12780829327299562
jamming_sweep,alpha_0.2,8,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T20:02:33.833425+00:00,189.27605852389928,0.4810909084602238,0.31127614235081336,0.7777825393386869,5.329295029962574,0.007819035278890708,0.2233870967741936,251.96602737807459,24.403263522732644,8.858247633903257,3.2187946381107455,8.44525687156185,3.6196569973422634,3.321628139865014,1.886824534785363,0.19948474822505827,0.1725278208332677,0.08626391041663385,0.14027800098542245,437.4026366664517,14.729292715749432,3.9295358504018476,1.59107473973305,8.024737173511136,1.5962526567520634,0.8230762943144767,0.6730534030545142,1.355086265071746,0.5125131299418788,0.2777307879540228,0.2903932140719506,167.89467487146868,0.42820819677132776,0.2780735433118709,0.7648492235801594,4.705647415453352,0.005671608089644508,0.18790322580645158,229.6122350861709,22.12955104920172,8.30532177417509,2.8452175847945673,5.930257821083069,2.640929816422924,3.245018743699597,1.4434744076382728,0.055542177154171854,0.05310323199918193,0.026551615999590966,0.05683342285694614,421.1083881686772,14.589105942941481,3.5093002107835587,1.309109668193325,6.9090613557446385,1.4216606486228205,0.7724637162300848,0.6032942829593536,0.9774311388692548,0.39229292792658654,0.22884863422762963,0.2362868466684895,208.56824744032798,0.528982947034395,0.34489698586346135,0.7915869871110701,5.988143700438903,0.010270384715377502,0.2556653225806452,276.2148091014715,26.81227886446061,9.558482329307063,3.6625732448793227,11.122459606393688,4.548725262476552,3.3993196964263914,2.3206380683568217,0.3788332398860685,0.3262630912565415,0.16313154562827076,0.24267507608859767,455.1868326917771,14.8766605008033,4.394834338272771,1.8800286426659552,9.282034649387482,1.7741367916907034,0.8853777854673324,0.7581599800817428,1.7568347515598421,0.6369066399912681,0.32933548650433936,0.341531446672255,0.13041654368068287
jamming_sweep,alpha_0.2,9,e3369d81690046d0ba78d89a69f25fff7052ed58,2026-04-21T20:03:12.885571+00:00,188.93943083192286,0.4805351834751009,0.3234972116311644,0.8179958505847209,10.170494382335523,0.0069567491993100875,0.26370967741935486,267.60596808646955,29.762910904422885,9.315585028740667,3.9757557684375393,9.806837393391516,3.974354197902064,2.1354972470191216,1.818092942237854,0.36810572685733917,0.33738043231348835,0.16869021615674418,0.2730672205648115,440.5107818342024,14.783761424403037,3.078710309920772,1.53346832336918,8.754435277754261,1.6016977064071163,0.622638056355138,0.6476742836736864,1.5517525826731036,0.49624132340954197,0.2555772566026257,0.2696664102615849,176.85819040937548,0.44998742025435257,0.299426722473891,0.7984020933600103,8.083912694857162,0.005123012552375193,0.2104637096774193,233.37618340545845,26.706078487826932,7.688519039846236,3.39636969489436,7.150514069199562,3.045491420549731,1.7541825017621442,1.4514850935628338,0.1442827134363113,0.1409331000620319,0.07046655003101596,0.14646270217434051,420.413553763205,14.608999351532228,2.737434725223049,1.2587450502380246,7.262023816570159,1.4114602511928926,0.5748847703779898,0.5921880175990443,1.1497504242004888,0.39115770632220853,0.2085251327483885,0.22337104582017467,200.7585270783951,0.510481351038139,0.3487398846997309,0.8375234607865889,12.034749738580961,0.008998262223355324,0.3169354838709677,301.88909192210247,33.19615193490059,11.134923095472399,4.522572776194541,12.549379579001858,4.937379943747674,2.5623203335269804,2.1741371711415627,0.6146546225393973,0.5740733867691409,0.28703669338457044,0.4185921868970317,460.7851833603074,14.943846505688082,3.4085144477505835,1.856477633599312,10.37915404919655,1.823633938450967,0.6784177853215125,0.706152634082302,1.9749773510040776,0.5992960145396571,0.302796801828569,0.3176988378647835,0.13026589495604018
