sweep,condition,n_seeds,shared_baseline_alias,phi_xseed_mean,phi_xseed_ci_lo,phi_xseed_ci_hi,phi_norm_xseed_mean,phi_norm_xseed_sigma,polarization_xseed_mean,sigma_u_xseed_mean,sigma_u_source,bimodality_dip_p,bimodality_modes,bimodality_std_iqr,surrogate_z_mean_over_windows,surrogate_obs_above_ci,surrogate_interpretation,tier1a_outcome,section_4_2_instance,section_4_3_instance,leader_block_partition,notes
w_sensitivity,W30,5,,95.39458692572404,82.3975558765226,108.35371480007817,0.2565023621353542,0.0491958813574847,0.6659381845874488,,not_computed,0.5827098025959405,2,0.6177656442073821,,,,,False,False,False,
w_sensitivity,W50,5,,155.24857797776363,141.69393137895412,171.676242627538,0.4395602809744671,0.0766730806932178,0.6586272158267443,,not_computed,0.3114359592989744,2,0.6193969332175442,,,,,False,False,False,
w_sensitivity,W60,5,,183.51471421471456,171.30447976632885,198.34537534989815,0.5231044250110527,0.0818976104447871,0.6557762066311383,,not_computed,0.7071437064689794,1,0.664407586447505,,,,,False,False,False,
alignment_rule_sensitivity,sum,5,,79.48126183957935,61.69479753581569,94.72229730989433,0.2130381718002578,0.0573079375219967,0.6491638165924161,,not_computed,0.9929818811102306,2,0.6402227594597926,,,,,False,False,False,
sensitivity,gaussian_full,5,,2832.248046015864,2589.656696946463,2985.84278733683,8.236031084366392,0.5776935760644227,0.6586272158267443,,not_computed,0.9814825278766223,1,0.8367961323087897,,,,,False,False,False,
sensitivity,gaussian_kinematic,5,,380.061660008272,299.0608837320774,473.42343559732626,1.0493938116370205,0.2836091272734447,0.6611804257281969,,not_computed,0.6337955568754726,2,0.6947957148916197,,,,,False,False,False,
sensitivity,gaussian_vxvyvz,5,,334.9321656905905,257.3399064133271,421.9354549824375,0.9269897276903668,0.2847307380383093,0.6611804257281969,,not_computed,0.3338691360554418,3,0.6909166645230908,,,,,False,False,False,
sensitivity,histogram_full,5,,1358.5483738843027,1337.0170823440662,1379.849895214884,3.666071832655984,0.015626331641345,0.6586272158267443,,not_computed,0.8754603089744895,1,0.9593388023459887,,,,,False,False,False,
sensitivity,histogram_kinematic,5,,1184.1581221627196,1163.2263504731995,1204.264001890051,3.1831938990829407,0.0081905518409863,0.6611804257281969,,not_computed,0.9901636782769917,1,1.3612569815151694,,,,,False,False,False,
sensitivity,histogram_vxvyvz,5,,1178.5181681880524,1159.621763678022,1196.5933884270196,3.163903214134632,0.0103732414080154,0.6611804257281969,,not_computed,0.5154703379453803,1,1.3913579058458063,,,,,False,False,False,
sensitivity,ksg_full,5,,472.5072289398694,440.9741287679948,499.36270906811495,1.3269497935862264,0.0761258431386004,0.6586272158267443,,not_computed,0.8889600227831103,1,0.7009967451748089,,,,,False,False,False,
sensitivity,ksg_vxvyvz,5,,128.85404298731277,113.0449680333232,148.5577384710495,0.3610053058191432,0.0734451327707704,0.6611804257281969,,not_computed,0.8088167783005764,2,0.6067081420185164,,,,,False,False,False,
multiple,vanilla_baseline,10,"W40, alpha_1.0, ksg_kinematic, lambda_0.0, mean, mu_0.0, none, sigma_0.05",131.8102781702899,113.84462881383324,150.67950917368825,0.35741297892319746,0.07933756243355107,0.7010214628875355,0.5183,tier1c_rerun,0.9135960583611563,1,0.6110094319714215,25.38,True,real_integration_detected,,False,False,False,Collapsed from 8 byte-identical vanilla-baseline conditions; surrogate from Tier 2.B 'none' scenario
