scenario,surrogate_mean,surrogate_95ci_lo,surrogate_95ci_hi,z_score,surrogate_std,shuffle_idx,kind,phi_spectral_mean,parquet_phi_mean,parquet_match
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,-1,observed,137.0450057298006,137.0450057298006,True
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,0,surrogate,108.52833052686923,,
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,1,surrogate,108.95299118360464,,
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,2,surrogate,111.96727030866911,,
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,3,surrogate,109.1619477803362,,
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,4,surrogate,109.40417427154598,,
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,5,surrogate,109.86895214829799,,
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,6,surrogate,111.0403654620624,,
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,7,surrogate,110.02786083255654,,
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,8,surrogate,109.02691218782653,,
none,109.85337903805384,108.6238791746347,111.7587167181826,25.38113620684793,1.0713321291113183,9,surrogate,110.55498567876988,,
