scenario,surrogate_mean,surrogate_95ci_lo,surrogate_95ci_hi,z_score,surrogate_std,shuffle_idx,kind,phi_spectral_mean,parquet_phi_mean,parquet_match
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,-1,observed,150.12261666585277,150.12261666585277,True
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,0,surrogate,111.26648842782355,,
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,1,surrogate,108.6698315951825,,
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,2,surrogate,111.55447862518167,,
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,3,surrogate,109.10987959161513,,
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,4,surrogate,108.79047681218,,
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,5,surrogate,111.44251625272278,,
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,6,surrogate,110.64301834732179,,
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,7,surrogate,109.05878372439938,,
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,8,surrogate,110.29373353549407,,
noise_sigma_0.2,109.94424289419214,108.62595918216651,111.52928709137842,32.92330885855014,1.2203625687892048,9,surrogate,108.61322203000059,,
