scenario,surrogate_mean,surrogate_95ci_lo,surrogate_95ci_hi,z_score,surrogate_std,shuffle_idx,kind,phi_spectral_mean,parquet_phi_mean,parquet_match
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,-1,observed,82.06825740429807,82.06825740429807,True
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,0,surrogate,70.24765888055262,,
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,1,surrogate,70.28651341496507,,
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,2,surrogate,70.6288273885043,,
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,3,surrogate,70.6935904229219,,
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,4,surrogate,70.60263384908049,,
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,5,surrogate,72.3075971716281,,
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,6,surrogate,71.4207839588134,,
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,7,surrogate,70.30859787970368,,
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,8,surrogate,71.03184053433755,,
noise_sigma_0.5,70.86327980206367,70.25640115079543,72.1080641987448,17.583769666535645,0.6372340979624536,9,surrogate,71.10475452012965,,
