scenario,surrogate_mean,surrogate_95ci_lo,surrogate_95ci_hi,z_score,surrogate_std,shuffle_idx,kind,phi_spectral_mean,parquet_phi_mean,parquet_match
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,-1,observed,129.86317204216334,129.86317204216334,True
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,0,surrogate,142.9289238279897,,
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,1,surrogate,136.70249793450404,,
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,2,surrogate,141.4135679321311,,
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,3,surrogate,137.925422290461,,
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,4,surrogate,139.09717371319653,,
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,5,surrogate,138.1471580693524,,
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,6,surrogate,141.49485417560996,,
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,7,surrogate,140.7625705272206,,
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,8,surrogate,140.3681276613727,,
split_merge,139.7511352189978,136.97765591459435,142.60625815620426,-5.079801328351285,1.9465255701336113,9,surrogate,138.67105605814015,,
