scenario,surrogate_mean,surrogate_95ci_lo,surrogate_95ci_hi,z_score,surrogate_std,shuffle_idx,kind,phi_spectral_mean,parquet_phi_mean,parquet_match
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,-1,observed,108.88735188185446,108.88735188185446,True
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,0,surrogate,98.88662895709219,,
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,1,surrogate,99.1163842416769,,
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,2,surrogate,99.46155613212768,,
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,3,surrogate,97.65994853166141,,
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,4,surrogate,96.77145226038867,,
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,5,surrogate,98.55484419189716,,
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,6,surrogate,98.4235174331104,,
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,7,surrogate,99.08295119958171,,
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,8,surrogate,96.59375083434144,,
alignment_wa_1.8,98.40214338293205,96.63373365520206,99.46841016649705,9.9591212610795,1.0528246643505452,9,surrogate,99.470400047443,,
