sweep,condition,seed,git_commit,timestamp,phi_spectral_mean,phi_norm_mean,polarization_mean,milling_score_mean,angular_momentum_norm_mean,local_density_mean,LCC_fraction_mean,snap_TP_0_mean,snap_MP_0_mean,snap_B_base_0_mean,snap_B_prev_0_mean,snap_TP_1_mean,snap_MP_1_mean,snap_B_base_1_mean,snap_B_prev_1_mean,snap_TP_2_mean,snap_MP_2_mean,snap_B_base_2_mean,snap_B_prev_2_mean,traj_TP_0_mean,traj_MP_0_mean,traj_B_base_0_mean,traj_B_prev_0_mean,traj_TP_1_mean,traj_MP_1_mean,traj_B_base_1_mean,traj_B_prev_1_mean,traj_TP_2_mean,traj_MP_2_mean,traj_B_base_2_mean,traj_B_prev_2_mean,phi_saturation_ratio
n_sensitivity_N160,wa_0.0,0,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-21T22:55:24.154569+00:00,6440.865677888551,1.0091119899778946,0.10031773483765141,0.7949722848907036,0.7641883655628159,0.003576750644469187,0.7018145161290322,696.1729134090485,15.467136567638766,4.214803357278147,2.4755276095482612,54.184735175101984,4.05930063801427,2.547816691860076,1.6888867039834299,3.171514403435492,1.1999868116071146,0.6127988599961803,0.6750334847357965,1555.629860662645,13.007016274236864,1.1158283910443705,0.9647678175280171,68.27616064010128,2.958496678260065,0.7432317272309334,0.6263995632048576,24.920709394639537,1.6151209185200353,0.4486991205523091,0.4451237340127268,0.2735551547645468
n_sensitivity_N160,wa_0.0,1,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-21T23:06:16.748090+00:00,6510.323471845782,1.0183932220126295,0.0691135629883695,0.7857440197126454,1.1780525080303361,0.0031076582957431493,0.5782258064516129,730.6166037234568,16.008934667033532,3.5114598197321736,2.826228710912889,52.924658467692716,5.0436339993630686,2.5904117168918734,2.037067428711922,2.4392882931616997,0.8733190259625835,1.0418608880812121,0.5388333259090301,1557.4153830082187,13.004907085049537,1.7636521785489974,1.122501842437252,68.42709525938957,2.9005793602235856,0.7363587656328755,0.6251695694461945,26.241436496857673,1.4287302263321415,0.46710509638632497,0.43545432244577714,0.27607115783544794
n_sensitivity_N160,wa_0.0,2,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-21T23:17:08.958752+00:00,6424.141638733612,1.0065894290251676,0.11658313566175652,0.786996446170547,1.3954629905009177,0.0028927991225690896,0.39798387096774207,742.196917519454,15.498629816116825,2.8190880148641524,2.5809414617476927,50.829942041827785,5.496400771602508,2.7150735547465663,2.1423261319437334,2.159078828750118,0.9320764233989101,0.6404242746291622,0.5912803680666031,1580.5777725558128,13.027166120467648,1.8381084934357674,1.1345246761075911,69.85726194996988,2.7873793878862934,0.700102360017838,0.6515681205257293,28.158927979007846,1.6146108565791961,0.4662276083423245,0.41675243070048673,0.27287132625128
n_sensitivity_N160,wa_0.0,3,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-21T23:27:56.175620+00:00,6466.242472756036,1.0131486034077208,0.08653517520261139,0.7833353217031438,0.8982505289026335,0.0036627328189669773,0.6076612903225805,713.792645158787,15.023325058721728,3.653297362789031,2.8785512678084837,54.00210023695423,4.4737167204579995,2.2493346122003373,1.9808433978788313,3.0516310814888246,1.1011229945767311,1.2977943420410156,0.6386811348699755,1571.2871826002674,13.032538167891964,2.357590167753158,1.1454567140148533,70.50690161797309,2.93625053282707,0.6107982512443296,0.6431801396031533,25.184783535618937,1.610737031505954,0.4399116116185342,0.47960736674647175,0.2746494202400218
n_sensitivity_N160,wa_0.0,4,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-21T23:38:40.215025+00:00,6681.390113008583,1.046351869920519,0.10341178532733404,0.7883227056034493,1.4670955165704214,0.0037508785059724246,0.6598790322580645,707.5031240765126,16.216790476152973,3.9235589119695846,2.6068469324419574,50.27776713140549,5.074238915597239,2.5407547643107753,2.1246538777505197,2.0184976977686726,0.8282737116659841,1.0119476318359375,0.5372799673388081,1540.0933242151814,12.888086318969727,1.5865631718789377,1.0031846569430443,66.48128787932858,2.8489884407289567,0.7354500985914662,0.71220245668965,24.567908102466212,1.5806530367943548,0.43942506851688506,0.47144403765278475,0.28365032876138024
n_sensitivity_N160,wa_0.6,0,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-21T23:49:11.756416+00:00,792.386870608996,0.12468529482149672,0.6389918100083123,0.667331293060466,7.480530880566703,0.016842605544774382,0.5124999999999998,183.2979985742319,33.91998777081889,11.99360829014932,3.4139687630438034,9.539716813833483,0.645413210315089,2.4729042053222656,0.21130924743990745,1.672933828446173,0.3911629953692036,0.1955814976846018,0.1525899556375319,1309.9728604708948,14.986192026445943,3.5472524935199368,2.8958035822837584,30.371230086972638,1.422968049203196,1.300876909686673,0.631292789213119,7.668834386333343,0.47775937664893364,0.35222828772760206,0.23410194919955346,0.033800316972256814
n_sensitivity_N160,wa_0.6,1,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-21T23:59:42.035044+00:00,2810.5404838425025,0.48618438021924326,0.7462233641806751,0.6035152087161088,9.283272051589597,0.024323107670770963,0.8052419354838709,142.14848417007636,20.14321433728741,13.375709441400343,3.0995810416436966,10.069318876151115,0.619364369300104,2.1017513275146484,0.2062092673393988,1.6952161058302848,0.3879174724701912,0.1939587362350956,0.1389016605192615,980.2291260265534,13.675028462563791,4.194189471583212,2.3993858868075955,18.609247722933368,1.3958751924576298,1.6575943731492566,0.6801812341136317,1.558049290410934,0.2837631164058562,0.5235768287412582,0.1572904202245897,0.13179730762875363
n_sensitivity_N160,wa_0.6,2,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-22T00:10:27.301027+00:00,1735.4411331282383,0.31264891933299055,0.7180187218107723,0.6987695776050246,11.199635814025523,0.02312775858727268,0.75,178.5949238718397,34.1382507201164,13.265776265052057,4.6834267339398785,8.796394656742773,0.65071258237285,6.756866455078125,0.20264830031702596,1.4199663208376976,0.31180845537493307,0.2718391418457031,0.11208311203987367,1300.5672620573353,14.41336336443501,3.703147611310405,2.4101090815759476,29.33655784976098,1.3328124323198873,1.304648599316997,0.5838367016084732,9.901638007933094,0.36762794371574153,0.5407426587996944,0.19570486776290402,0.08475444189002061
n_sensitivity_N160,wa_0.6,3,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-22T00:20:50.343404+00:00,1495.797861477386,0.23474613930892024,0.7189528647354054,0.7896488178313507,15.497036417032485,0.018862844911572526,0.5062499999999999,147.7997372092439,27.031048559373424,14.421180725097656,1.476185392948889,8.960439426043342,0.6261151375309113,6.242515563964844,0.18812318771116196,1.6019991828549294,0.3906899613718833,0.19462429515777097,0.13677776436651906,1188.2582850917693,14.25781911419284,3.9696940837367887,2.70868880133475,26.176447176164196,1.3923010364655526,1.0990857924184492,0.6201110809080063,4.3318100898496565,0.3625774152817265,0.6076382052513861,0.20949633275308915,0.06363616437699668
n_sensitivity_N160,wa_0.6,4,6b80fc523b8398ebf09c548ce5fcc49b8e328872,2026-04-22T00:31:17.976080+00:00,1841.9233344683696,0.3250026523347979,0.8158657441939902,0.8678378836253556,20.0238920440025,0.027561657269938953,0.8374999999999997,150.3190495729927,35.09159561895555,17.183792852586315,1.5477232144724937,9.21313685419098,0.6245123205646392,3.1865100860595703,0.2017858874413275,1.5500754117965698,0.3412545842509116,0.1706272921254558,0.13514069972499723,1089.7311975725236,14.103234506422474,3.796607809682046,2.837932798170274,21.025935580653528,1.437797946314658,1.4708304251393964,0.610832360482985,1.9145507581772343,0.28034968529978105,0.5560650056408297,0.1808213803075975,0.08810335397985053
