condition,sweep,snap_TP_0,snap_TP_1,snap_TP_2,snap_MP_0,snap_MP_1,snap_MP_2,snap_B_base_0,snap_B_base_1,snap_B_base_2,traj_TP_0,traj_TP_1,traj_TP_2,traj_MP_0,traj_MP_1,traj_MP_2,traj_B_base_0,traj_B_base_1,traj_B_base_2
alpha_0.2,jamming_sweep,0.6853719674136849,0.6051147384440929,0.053877216930027796,-0.4506281519501059,0.641013398585539,0.06936710423554372,-0.7968034770278809,0.5617712568037851,0.09887399241430987,0.49340515054758133,0.671122914863776,0.6636775984005252,-0.5779147145713347,0.7184954194145206,0.692295067291337,-0.625248524266757,-0.38361358136954216,0.6306879308003984
alpha_0.5,jamming_sweep,0.19747247172570198,0.3123750410313031,-0.13116809101080215,0.259123869774104,0.27125421503386943,-0.16025189185039868,0.025908173173250313,0.169491797946187,-0.13291100258343155,-0.1917579302318641,-0.015472531407597504,-0.17035514590531328,0.061054579093432,0.25136522335949385,-0.08463670375720514,0.1523357427985759,0.1376536004103331,0.17705617729228446
alpha_1.0,jamming_sweep,0.20618602846826414,0.3453642087672704,-0.1990128834773109,0.06647071110978484,0.37859210408522564,-0.21398007292939675,-0.28845768537213134,0.18061346923564367,-0.1891704435470782,-0.1496672734326042,0.07309540150995195,-0.03690108490208133,-0.3386499955238578,0.258586732714631,-0.017040452469946166,0.033229043046714854,-0.1809939595065052,0.03242592109199218
