step,agent_id,x,y,z,vx,vy,vz,speed,u_x,u_y,u_z,is_leader,leader_group,neighbor_count,local_density,scenario_label,near_boundary
0,1,31.091037192512648,14.065982663762584,1.7414989799271012,-0.7570471735600669,0.5766469755690685,-0.30717721688263294,1.0,-0.7570471735600669,0.5766469755690685,-0.30717721688263294,0,-1,2,0.000477464829275686,split_merge,1
0,2,0.1337057357906214,40.543158498382105,45.89026057244759,0.9600875122170761,-0.12035346163151371,0.2524817085615059,0.9999999999999999,0.9600875122170762,-0.12035346163151373,0.252481708561506,0,-1,1,0.000238732414637843,split_merge,1
0,3,30.08411300858058,36.46070844438186,28.149989654444074,-0.2476757797784131,-0.01411960481806566,0.9687400811729309,1.0,-0.2476757797784131,-0.01411960481806566,0.9687400811729309,0,-1,0,0.0,split_merge,0
0,4,47.510151729812364,41.01088801294355,0.4795535421193624,0.7565305404239504,0.218210306866944,0.6164785506267672,0.9999999999999999,0.7565305404239505,0.21821030686694404,0.6164785506267673,0,-1,1,0.000238732414637843,split_merge,1
0,5,42.52447797102545,0.7778110197137488,36.743200084926585,-0.3457358583530169,-0.901467745559469,0.2604277634293846,1.0000000000000002,-0.34573585835301684,-0.9014677455594687,0.26042776342938456,0,-1,1,0.000238732414637843,split_merge,1
0,6,8.90915203408066,44.147341823404766,26.988774015249827,0.1263710039527116,0.988395705910436,-0.08428699720475596,0.9999999999999999,0.12637100395271164,0.9883957059104361,-0.08428699720475598,0,-1,1,0.000238732414637843,split_merge,1
0,7,15.189243087696035,21.648500398659966,2.2491630121297126,0.20364856082679578,0.5141393387770415,0.8331794548565641,1.0,0.20364856082679578,0.5141393387770415,0.8331794548565641,1,1,0,0.0,split_merge,1
0,8,7.159767653585873,33.317317467727165,32.60458533312624,0.9456038286076761,-0.2139032669543504,0.2451097544137331,0.9999999999999999,0.9456038286076762,-0.21390326695435044,0.24510975441373312,1,1,1,0.000238732414637843,split_merge,1
0,9,30.299325703467286,18.4456584857896,49.37655641176922,-0.46992987059540636,-0.7382192273045737,-0.4839403776913258,1.0,-0.46992987059540636,-0.7382192273045737,-0.4839403776913258,0,-1,1,0.000238732414637843,split_merge,1
0,10,48.175470673901884,34.29623368362575,32.02379985850245,-0.8662962649096247,0.019134459591012926,-0.49916395488836435,0.9999999999999999,-0.8662962649096249,0.01913445959101293,-0.4991639548883644,0,-1,0,0.0,split_merge,1
0,11,34.224720776752406,20.333670369710404,7.170897031847527,-0.1976157517946012,0.8875991707552154,0.41607178072696593,1.0,-0.1976157517946012,0.8875991707552154,0.41607178072696593,1,0,2,0.000477464829275686,split_merge,1
