condition,sweep,snap_TP_0,snap_TP_1,snap_TP_2,snap_MP_0,snap_MP_1,snap_MP_2,snap_B_base_0,snap_B_base_1,snap_B_base_2,traj_TP_0,traj_TP_1,traj_TP_2,traj_MP_0,traj_MP_1,traj_MP_2,traj_B_base_0,traj_B_base_1,traj_B_base_2
gaussian_full,sensitivity,-0.19347029781812394,0.047045707915273134,0.3829248419470902,-0.6288899506290812,0.15771619684663166,0.3796117508248176,-0.1431064428961747,-0.1924658894937215,0.32278593374287035,-0.22097467749641664,-0.1794075489727664,-0.2234930602283738,0.056091734352603916,-0.08762541806020067,-0.15123614496138144,0.16619677734879693,0.15781891353502261,0.016776516920462465
gaussian_kinematic,sensitivity,-0.054191161111276885,0.24138342633762047,-0.07659587546569005,-0.34563277729700687,0.26354033004088206,-0.10810286944621844,-0.1439051831758704,0.10516502991711942,-0.09039757259348781,-0.4356778371281071,-0.1013249380800334,-0.18060080088122282,0.09561039658619555,-0.013130017009340215,-0.15673397847601128,0.37139158177026343,0.059416626653609625,0.1600197819823317
gaussian_vxvyvz,sensitivity,-0.04629823043179851,0.24107009638626123,-0.07890927388680892,-0.38417236131419535,0.2724926143654322,-0.10480441105223608,-0.20829801334710168,0.09304852720879545,-0.08509457720260108,-0.34758735937453367,-0.1348512428754737,-0.2890927199026405,0.1741368505863746,0.020620094894213837,-0.17884492720771078,0.28326372085137863,0.23250935746515175,0.10052921827659793
histogram_full,sensitivity,-0.47434304825609175,-0.3267399267399268,0.2706779518574022,-0.175266762223284,-0.3101130753304666,0.2024250890740457,0.17817307773872312,-0.44868772595314854,0.20204581682099385,-0.5859531772575252,-0.4210065297021819,-0.3615075915055393,0.29921962095875143,-0.37918458353240964,-0.3554383929348329,0.6302965449032879,0.43576136662385656,0.08433010392159596
histogram_kinematic,sensitivity,-0.1110381665721703,-0.03509295455223658,0.08603603353896537,-0.04417952314165497,-0.04228462295962519,0.07311085268290778,0.14723425242359323,-0.006042717376330789,0.060444898045543274,-0.44631613500044753,-0.3193130613828295,-0.38907877129301355,-0.023678792038435138,-0.0981170361970696,-0.38787716915807535,0.26520043771095664,0.35010996145058687,0.029710748164362623
histogram_vxvyvz,sensitivity,-0.05681716451314493,-0.04203097490376294,0.09593887129646447,-0.021052788636567094,-0.020575333472591082,0.08649125064763716,0.12181927469445,-0.006974756046201862,0.07488939421199928,-0.4338426188415743,-0.5121303452597654,-0.531088788344793,-0.04179224732177494,-0.14283369639819757,-0.47001906097974394,0.24488695035679606,0.2856172347459661,0.21651864762745102
ksg_full,sensitivity,-0.013489409141583057,0.17098264054785794,0.16510502898036913,-0.35967510750119447,0.19632107023411374,0.15199601939560778,-0.1481771112208249,0.09930217233713154,0.13788873710108487,-0.3573817486860965,-0.06830705526357701,-0.19020008119221551,-0.2351648351648352,0.03986303551520943,-0.14341468433614038,0.3048175663806811,-0.053994155026427855,0.05196681656364462
ksg_kinematic,sensitivity,0.2918892304019575,0.46745844648026014,-0.23846660176404189,-0.2649577750589358,0.5295872996926381,-0.26574977798214033,-0.26322765593452824,0.3166912060443594,-0.2444619212461681,-0.16913849183850077,0.1193488705201277,-0.03487650196658345,-0.166109635642028,0.213213571663036,0.011865821082515472,0.07166746297181079,-0.026076868004672623,0.23796413725680035
ksg_vxvyvz,sensitivity,0.3100026856852974,0.4637283280116976,-0.26127223265094257,-0.27485004923756373,0.5383008564352002,-0.2876748249539055,-0.2686836305349629,0.31940965216481665,-0.2647797931217167,-0.17072006206917129,-0.018784876607681057,-0.2204209827422109,-0.18155232610187694,0.29121780907761624,-0.08164513758650092,0.03053188046175423,0.2596262632257336,0.20795592362365609
